nm	AB	MY
280	0.30729	0.3756
281	0.33264	0.3754
282	0.34793	0.3752
283	0.36981	0.3750
284	0.38404	0.3747
285	0.39042	0.3744
286	0.42365	0.3740
287	0.42931	0.3735
288	0.45299	0.3728
289	0.47400	0.3719
290	0.49501	0.3707
291	0.51279	0.3692
292	0.53389	0.3672
293	0.55344	0.3646
294	0.57991	0.3614
295	0.59867	0.3576
296	0.61743	0.3533
297	0.63765	0.3490
298	0.66305	0.3448
299	0.67869	0.3412
300	0.70232	0.3381
301	0.72940	0.3353
302	0.74760	0.3326
303	0.77235	0.3295
304	0.78964	0.3258
305	0.81169	0.3212
306	0.82972	0.3151
307	0.84022	0.3068
308	0.87151	0.2956
309	0.88036	0.2822
310	0.89494	0.2695
311	0.91505	0.2604
312	0.93038	0.2547
313	0.93392	0.2510
314	0.94348	0.2482
315	0.96086	0.2451
316	0.96745	0.2405
317	0.97789	0.2343
318	0.96817	0.2275
319	1.00000	0.2213
320	0.99251	0.2162
321	0.99138	0.2121
322	0.97858	0.2089
323	0.97548	0.2063
324	0.96145	0.2040
325	0.95537	0.2019
326	0.94567	0.1999
327	0.93920	0.1980
328	0.91680	0.1961
329	0.91515	0.1944
330	0.90464	0.1927
331	0.88565	0.1910
332	0.88042	0.1893
333	0.88017	0.1876
334	0.86253	0.1860
335	0.83483	0.1845
336	0.80897	0.1831
337	0.77958	0.1820
338	0.74774	0.1812
339	0.70821	0.1807
340	0.66787	0.1805
341	0.63080	0.1802
342	0.58761	0.1800
343	0.55453	0.1795
344	0.53288	0.1788
345	0.50908	0.1776
346	0.48209	0.1760
347	0.45747	0.1741
348	0.44383	0.1720
349	0.42738	0.1699
350	0.40525	0.1679
351	0.38447	0.1663
352	0.35499	0.1651
353	0.32646	0.1644
354	0.29262	0.1638
355	0.25408	0.1630
356	0.22427	0.1617
357	0.19129	0.1595
358	0.16000	0.1566
359	0.12729	0.1532
360	0.10672	0.1496
361	0.08520	0.1463
362	0.06829	0.1436
363	0.05548	0.1416
364	0.04723	0.1401
365	0.03484	0.1390
366	0.02867	0.1377
367	0.02565	0.1361
368	0.01748	0.1339
369	0.01602	0.1307
370	0.01287	0.1269
371	0.01144	0.1227
372	0.01214	0.1187
373	0.01205	0.1150
374	0.00949	0.1119
375	0.01004	0.1097
376	0.00942	0.1085
377	0.00450	0.1086
378	0.00775	0.1098
379	0.00527	0.1120
